Abigail    	36	14	8	10	3	7	0.389	0.463
Abraham    	28	8	10	12	10	10	0.286	0.483
Adam       	23	9	7	10	7	8	0.391	0.511
Adrasteia  	4	1	2	0	1	0	0.250	0.571
Adrian     	17	7	11	4	10	12	0.412	0.560
Agamemnon  	0	0	0	0	0	0	0.000	0.000
Aias       	1	1	0	0	0	1	1.000	0.500
Aineias    	3	1	0	1	2	0	0.333	0.600
Alan       	24	12	6	4	2	9	0.500	0.488
Alexander  	33	10	5	12	10	12	0.303	0.417
Alexandra  	28	9	7	11	12	14	0.321	0.459
Alison     	21	9	5	4	3	6	0.429	0.486
Allan      	31	13	9	7	8	9	0.419	0.526
Alsop      	28	14	12	9	6	9	0.500	0.582
Althea     	3	1	2	2	0	0	0.333	0.600
Alvis      	1	1	2	0	1	1	1.000	0.800
Amanda     	22	9	4	5	7	10	0.409	0.465
Amaterasu  	0	0	0	0	1	0	0.000	1.000
Amelia     	24	10	8	6	7	15	0.417	0.463
Amor       	2	0	0	1	0	0	0.000	0.000
Amy        	25	10	9	4	5	2	0.400	0.585
Anat       	1	1	0	0	0	0	1.000	1.000
Anath      	1	0	0	0	0	0	0.000	0.000
Anderson   	25	15	7	7	7	6	0.600	0.644
Andrea     	29	7	7	8	8	11	0.241	0.400
Andrew     	36	11	10	12	10	7	0.306	0.492
Angela     	42	12	9	19	8	10	0.286	0.420
Anna       	14	4	5	5	4	8	0.286	0.419
Anne       	31	7	8	16	9	17	0.226	0.369
Anthony    	27	7	3	7	11	4	0.259	0.467
Aodh       	1	0	0	0	1	1	0.000	0.333
Aoede      	1	1	0	0	0	0	1.000	1.000
Aoife      	2	0	1	1	1	1	0.000	0.400
Aoifez     	1	0	3	0	2	0	0.000	0.833
Aranrhod   	0	0	0	0	0	0	0.000	0.000
Aristaeus  	1	0	1	1	0	0	0.000	0.500
Arnold     	23	7	16	6	9	12	0.304	0.533
Ashur      	1	0	0	1	0	0	0.000	0.000
Astraia    	0	0	0	0	1	1	0.000	0.500
Athenez    	2	0	0	0	0	0	0.000	0.000
Audrey     	39	16	14	8	7	10	0.410	0.529
Austin     	49	16	11	17	4	10	0.327	0.419
Ava        	28	12	10	9	4	14	0.429	0.464
Avery      	8	5	3	1	9	6	0.625	0.654
Bahram     	1	0	0	0	0	0	0.000	0.000
Bailey     	34	5	7	14	14	19	0.147	0.351
Baker      	27	9	11	14	9	9	0.333	0.518
Ball       	23	7	12	7	7	13	0.304	0.473
Bell       	32	12	11	8	13	15	0.375	0.507
Bella      	17	2	10	8	4	11	0.118	0.381
Benjamin   	24	7	11	11	8	11	0.292	0.481
Bernadette 	24	10	8	9	8	12	0.417	0.500
Berry      	36	12	9	9	8	7	0.333	0.483
Bhumi      	1	0	0	0	0	1	0.000	0.000
Black      	30	9	5	9	9	13	0.300	0.404
Blake      	48	9	22	17	22	6	0.188	0.541
Bond       	19	3	6	11	5	6	0.158	0.389
Boris      	28	10	12	8	12	3	0.357	0.618
Bower      	34	10	14	15	14	11	0.294	0.521
Brandon    	27	8	8	8	2	9	0.296	0.391
Brian      	24	12	7	7	9	0	0.500	0.700
Brown      	15	5	7	6	9	17	0.333	0.438
Brünhild   	0	0	0	0	0	0	0.000	0.000
Buckland   	34	7	15	17	11	13	0.206	0.452
Burgess    	22	5	10	12	12	6	0.227	0.540
Butler     	38	15	5	14	9	12	0.395	0.453
Cai        	2	0	0	1	1	2	0.000	0.200
Cameron    	52	21	15	18	21	22	0.404	0.518
Camilla    	2	0	1	1	0	0	0.000	0.333
Campbell   	24	11	9	8	8	13	0.458	0.519
Carl       	29	7	11	9	13	13	0.241	0.470
Carol      	25	6	7	9	8	13	0.240	0.396
Caroline   	28	9	18	16	7	11	0.321	0.531
Carolyn    	31	9	9	16	9	10	0.290	0.458
Carr       	34	13	12	8	15	11	0.382	0.556
Cerberus   	3	1	0	0	0	0	0.333	0.333
